archive,folder_name,size_bytes,size_mb,file_count
jillem-full-archive,abaraka '77' original band of nigeria - st (1977) (digital) (flac 320kb),87433657,83.38,7
jillem-full-archive,abaraka guitar band - aba n'anya (1975) (digital) (flac 320kb),84428252,80.52,13
jillem-full-archive,"abbas mehrpouya - soul raga anthology, disc 1 (320kb)",149775130,142.84,16
jillem-full-archive,"abbas mehrpouya - soul raga anthology, disc 2 (320kb)",132095038,125.98,16
jillem-full-archive,abdallah ag oumbadougou - anou malane (320kb),91002919,86.79,11
jillem-full-archive,abdallah ag oumbadougou - anou malane (flac),93511441,89.18,12
jillem-full-archive,abderrahman el khamissi - music from the soundtrack 'respectable families' (vbr0),21491967,20.5,8
jillem-full-archive,abdou el omari - nuits trilogy 1 (red album) (digital) (2016) (flac 320kb),85912416,81.93,10
jillem-full-archive,abdou el omari - nuits trilogy 2 (yellow album) (digital) (2017) (flac 320kb),93600579,89.26,10
jillem-full-archive,abdou el omari - nuits trilogy 3 (green album) (digital) (2017) (flac 320kb),103599800,98.8,10
jillem-full-archive,abdullah 'dollar brand' ibrahim - the journey (2003) (flac 320kb),106237870,101.32,9
jillem-full-archive,abdullah sami - peace of time (1977; 2019) (vbr0),88041969,83.96,7
jillem-full-archive,"abel lima - goenta canela, 1979 (digital) (flac 320kb)",82230731,78.42,11
jillem-full-archive,"abel lima e les sofas - cantam nos bida, 1977 (lp) (320kb)",99884781,95.26,13
jillem-full-archive,abelardo carbono - la cumbia sampuesana (1 track album) (flac 320kb) [ meridian brothers mix],73529963,70.12,9
jillem-full-archive,abelardo carbono y su conjunto - guana tangula (1980) (320kb),90476072,86.28,14
jillem-full-archive,abelardo carbono y su grupo - la pina madura (320kb),28199301,26.89,6
jillem-full-archive,abelardo carbonó y su grupo - zelo zelo (re-edit) (2020) (1 track album) (digital) (flac 320kb),8580712,8.18,5
jillem-full-archive,abena fosuaa - adowa gospel (320kb),139056032,132.61,15
jillem-full-archive,abenan louis - le grand abenan louis d'anyama (1982) (digital) (320kb),74066578,70.64,8
jillem-full-archive,abner jay - folk song stylist (mississippi records) (320kb),87471449,83.42,16
jillem-full-archive,abner jay - one man band (cd) (subliminal sounds) (320kb),140015355,133.53,16
jillem-full-archive,abranis - chenar le blues 7'' (flac 320kb),16345622,15.59,5
jillem-full-archive,absolute belter (finders keepers) (320kb),153380959,146.28,28
jillem-full-archive,abu obaida hassan & his tambour - the shaigiya sound of sudan (320kb),116235108,110.85,16
jillem-full-archive,accordion in americas 1949-1962 (3cd) (fremeaux & associes) (320kb),482855345,460.49,73
jillem-full-archive,accordions of the world (1997) (kardum) (flac vbr0),90537783,86.34,27
jillem-full-archive,achilifunk. gipsy soul 1969-1979 (320kb),131457553,125.37,21
jillem-full-archive,acid rumba - spanish gypsy grooves 1969-1976 (320kb),108973058,103.92,24
jillem-full-archive,ada moore - jazz workshop volume three (1992) (flac 320kb),104720982,99.87,15
jillem-full-archive,adamosa osagiede and his international band - st (1976) (digital) (flac 320kb),97324946,92.82,16
jillem-full-archive,adawa king admiral dele abiodun and his top hitters band - ojo to p'aje loru (flac 320kb),98326973,93.77,5
jillem-full-archive,addai's band - hilife 'n' rhythm vol. 1 - awisia hye den (1978) (lp) (320kb),102475111,97.73,18
jillem-full-archive,adele sebastian - desert fairy princess (1981) (digital) (flac 320kb),93173315,88.86,10
jillem-full-archive,adeolu akisanya - the best of adeolu akisanya (baba eto) vol. 1 (vbr0),75967275,72.45,19
jillem-full-archive,admas - sons of ethiopia (reissue) (flac 320kb),96845685,92.36,16
jillem-full-archive,"admiral dele abiodun & his top hitters band - adawa super 5 (olumo records - orps 56, 1976) (digital (flac 320kb)",98953019,94.37,14
jillem-full-archive,"admiral dele abiodun & his top hitters band - s.t. (olumo records - orps 38, 1976) (digital) (flac 320kb)",100822305,96.15,13
jillem-full-archive,admiral dele abiodun & his top hitters band - super 11 mo ke p'oluwa (flac 320kb),101478771,96.78,5
jillem-full-archive,admiral dele abiodun & his top hitters band - the beginning of a new era (lp) (320kb),89083100,84.96,9
jillem-full-archive,admiral dele abiodun - halleluyah modupe (original super 7 - in the apple new york city) (1977) (digital) (flac 320kb),99221923,94.63,14
jillem-full-archive,admiral dele abiodun and his top hitters band - adawa sounds super 2 (1975) (digital) (flac 320kb),106728031,101.78,17
jillem-full-archive,"adnan othman - bershukor; a retrospective of hits, 1968-1971 (2xlp) (vbr0)",156963148,149.69,30
jillem-full-archive,adolfo echeverria y su orquesta - sabroso bacalao (1977; 2019) (320kb),92042870,87.78,16
jillem-full-archive,adonten singers - adonten singers (1975) (lp) (flac 320kb),84847966,80.92,13
jillem-full-archive,adrian sherwood; various - sherwood at the controls - volume 1 1979 - 1984 (320kb scans),216552856,206.52,39
jillem-full-archive,adrian sherwood; various - sherwood at the controls - volume 1 1979 - 1984 (flac scans),201805307,192.46,42
jillem-full-archive,adrian sherwood; various - sherwood at the controls - volume 2 1985 - 1990 (320kb),175062344,166.95,22
jillem-full-archive,adrian sherwood; various - sherwood at the controls - volume 2 1985 - 1990 (flac),186181320,177.56,23
jillem-full-archive,adu kwasi's band of ghana - adu kwasi (1979) (digital) (flac 320kb),73663646,70.25,13
jillem-full-archive,afghanistan untouched (traditional crossroads) (2cd) (vbr0 scans),279998701,267.03,69
jillem-full-archive,africa airways five (brace brace boogie 1976 - 1982) (320kb),100382784,95.73,13
jillem-full-archive,africa airways six - mile high funk 1974-1981 (320kb),102423838,97.68,15
jillem-full-archive,africa airways vol. 1 - 4 (africa seven) (4xcd) (320kb),419945352,400.49,45
jillem-full-archive,africa boogaloo - the latinization of west africa (flac 320kb booklet),169705176,161.84,35
jillem-full-archive,africa crioula vol. 1 (320kb) (re-rip),168775479,160.96,26
jillem-full-archive,africa dances [original music] [omcd 002] [1988] (flac 320kb),148793882,141.9,35
jillem-full-archive,africa express presents... terry riley - in c mali (flac 320kb),100027828,95.39,15
jillem-full-archive,africa gone funkee (rocafort records) (320kb),53621953,51.14,9
jillem-full-archive,africa iron gate showcase (dub store records) (2018 (flac),93961326,89.61,13
jillem-full-archive,"africa negra - angelica (1983, 2013) (320kb)",93548941,89.22,9
jillem-full-archive,africa negra - antologia vol. 1 (320kb),184794289,176.23,14
jillem-full-archive,africa negra - antologia vol. 1 {tracks 01- 06} (flac),95785661,91.35,8
jillem-full-archive,africa negra - antologia vol. 1 {tracks 07- 12} (flac),94728879,90.34,9
jillem-full-archive,"african acoustic - sounds eastern and southern, 1988 (omcd 001) (320kb)",145692276,138.94,31
jillem-full-archive,african brothers & king tubby - the african brothers meet king tubby in dub (cd) (flac 320kb scans),94484851,90.11,26
jillem-full-archive,"african brothers [sugar minott, tony tuff, derrick howard] - want some freedom (cd) (flac 320kb)",113870166,108.6,25
jillem-full-archive,"african brothers band (international) - tribute to d.k. (3xlp) (incl. reissue, 2012) (320kb)",210529923,200.78,28
jillem-full-archive,african brothers band - african brothers band (remastered) (2019) (320kb),91158200,86.94,16
jillem-full-archive,african brothers band - akuboat presents the best of african bros. band vol. 1 (vbr),86553222,82.54,23
jillem-full-archive,african brothers band - eye a na newu-akwankwaa 7'' (320kb),20560899,19.61,7
jillem-full-archive,african brothers band international in cote d'ivoire - agatha (lp) (320kb),89656862,85.5,15
jillem-full-archive,"african brothers dance band (international) - 1st (1969) (lp, mono, happy bird) (flac)",95412214,90.99,20
jillem-full-archive,african brothers int. of ghana - locomotive train (keteke) (lp) (320kb),101980396,97.26,12
jillem-full-archive,african brothers international band - odo paa nie (1973; 2021) (remastered) (digital) (flac 320kb),94462373,90.09,10
jillem-full-archive,african brothers international band of ghana - susana (1978) (lp) (320kb),96710772,92.23,13
jillem-full-archive,african disco - deep disco from 1970's africa (nascente) (320kb),154830121,147.66,19
jillem-full-archive,african head charge - churchical chant of the iyabinghi (flac 320kb),110082169,104.98,14
jillem-full-archive,african head charge - drastic season (1983; 1998) (cd) (flac 320kb),108214772,103.2,16
jillem-full-archive,african head charge - environmental studies (1982; 1997) (cd) (flac 320kb scans),121540387,115.91,24
jillem-full-archive,african head charge - off the beaten track (1986; 2011) (cd) (flac 320kb),98810374,94.23,16
jillem-full-archive,african moves vol. 1 (1986) (stern's africa) (cd) (320kb),192489252,183.57,14
jillem-full-archive,"african music (vertigo, 1983) (320kb)",124893698,119.11,20
jillem-full-archive,"african music machine - black water gold, lp (alac 320kb)",200452697,191.17,25
jillem-full-archive,african music today (truth & soul) (2010) (320kb),99195039,94.6,18
jillem-full-archive,"african party 2 (vinyl, vega - 19.148, 1969) (320kb)",123616314,117.89,17
jillem-full-archive,african scream contest - raw & psychedelic afro sounds from benin & togo 70s (320kb booklet scans),246030070,234.63,36
jillem-full-archive,african scream contest - raw & psychedelic afro sounds from benin & togo 70s (booklet),41642922,39.71,13
jillem-full-archive,african scream contest - raw & psychedelic afro sounds from benin & togo 70s (flac scans),199156899,189.93,21
jillem-full-archive,african scream contest vol. 2 - benin 1963-1980 (320kb),172340269,164.36,17
jillem-full-archive,african serenades vol. 14 - early african rock and roll (192kb),111224312,106.07,26
jillem-full-archive,african serenades vol. 44 - kenyan singles 1 by tim (192kb),105081058,100.21,19
jillem-full-archive,african serenades vol. 45 - kenyan singles 2 by tim (192kb),110724667,105.6,19
jillem-full-archive,african serenades vol. 46 - cheeku's tanzam express (aac 256kb),154348181,147.2,15
jillem-full-archive,african system orchestra - s.t {1978 (asalps 16)} (digital) (flac 320kb),90625850,86.43,11
jillem-full-archive,african tempo's band - african baby (1977) (digital) (flac 320kb),96480618,92.01,10
jillem-full-archive,afrika underground - jazz funk & fusion under apartheid (320kb),171101594,163.18,14
jillem-full-archive,afrikan blood (studio one) (2020) (digital) (flac 320kb),110282771,105.17,17
jillem-full-archive,afro beat - reloaded (320kb),142805760,136.19,15
jillem-full-archive,afro beat - reloaded (flac),147141383,140.32,14
jillem-full-archive,afro blue persuasion - live at haight levels vol. 1 & 2 (320kb),186353529,177.72,15
jillem-full-archive,afro edits vol. 2 (orange tree edits) (320kb),31304453,29.85,5
jillem-full-archive,"afro funk - body music (1975, cd reissue 2012) (secret stash) (320kb)",71473704,68.16,10
jillem-full-archive,afro funk explosion - motherload from the motherland (320kb),153069783,145.98,19
jillem-full-archive,afro kelenkye band - jungle funk (1977; 2012) (flac 320kb),41184333,39.28,14
jillem-full-archive,afro latin via conakry 2xcd (syllart) (320kb),372496705,355.24,46
jillem-full-archive,afro latin via cotonou (syllart) (2-cd) (vbr0),283720226,270.58,32
jillem-full-archive,"afro latin via dakar, disc 1 (syllart) (320kb)",191707396,182.83,17
jillem-full-archive,"afro latin via dakar, disc 2 (syllart) (320kb)",191181623,182.33,21
jillem-full-archive,"afro latin via kinshasa (syllart, 2xcd) (320kb)",364041341,347.18,43
jillem-full-archive,afro national - african experimentals 1972-1979 (2018) (vbr0),100929257,96.25,14
